dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-12-06 11:32:06,4,1,66K65TSXOQ8BDZNOAK7M,чай зеленый,напитки и соки,8,197.12,42.27
2025-12-06 11:32:08,4,1,66K65TSXOQ8BDZNOAK7M,кола,напитки и соки,4,296.63,80.0
2025-12-06 11:32:10,4,1,66K65TSXOQ8BDZNOAK7M,персик,фрукты и овощи,1,74.54,20.11
2025-12-06 11:32:16,4,1,0JMOCJI9EYHTS2O8AKSQ,тарелка,посуда,10,823.24,1.67
2025-12-06 11:32:18,4,1,0JMOCJI9EYHTS2O8AKSQ,форма для запекания,посуда,5,713.57,20.06
2025-12-06 11:32:20,4,1,0JMOCJI9EYHTS2O8AKSQ,сок апельсиовый,напитки и соки,7,119.2,3.65
2025-12-06 14:19:30,4,1,QR3ASFU27X2NR9DSBV9W,сок лимонный,напитки и соки,6,195.7,14.74
2025-12-06 14:19:32,4,1,QR3ASFU27X2NR9DSBV9W,сок гранатовый,напитки и соки,2,284.62,43.3
2025-12-06 14:19:34,4,1,QR3ASFU27X2NR9DSBV9W,средство для мытья посуды,бытовая химия,6,313.17,37.86
2025-12-06 13:16:06,4,1,2K9CB52X9STO83ARR7S6,тофу,молоко и молочные продукты,2,74.48,7.88
2025-12-06 13:16:08,4,1,2K9CB52X9STO83ARR7S6,брюква,фрукты и овощи,3,264.05,65.58
2025-12-06 13:16:10,4,1,2K9CB52X9STO83ARR7S6,салат айсберг,фрукты и овощи,5,264.54,75.6
2025-12-06 23:02:43,4,1,M642O6TRBQYK43ML3W7C,кола,напитки и соки,2,290.62,34.34
2025-12-06 23:02:45,4,1,M642O6TRBQYK43ML3W7C,тюль,текстиль,3,3464.84,752.66
